Depth[m],Vs[m/sec],Vp[m/sec]
-0,346.9312,602.5626
-1,346.9312,602.5626
-2,354.0202,623.2494
-3,359.3036,642.1222
-4,365.22,665.3878
-5,378.0378,694.149
-6,417.8756,728.4452
-7,442.022,769.3024
-8,460.8438,799.544
-9,474.7642,827.28
-10,485.6078,850.5794
-11,493.7072,868.0272
-12,503.3048,887.144
-13,513.2736,904.0262
-14,522.1788,929.925
-15,530.9022,957.0382
-16,541.4132,977.4838
-17,550.415,1006.4244
-18,559.7348,1038.2208
-19,570.911,1072.192
-20,580.7544,1113.0382
-21,589.8676,1164.7088
-22,600.4374,1220.7294
-23,612.3696,1279.2764
-24,628.3508,1348.1324
-25,640.0208,1422.4316
-26,655.2256,1475.926
-27,668.4694,1549.9768
-28,683.1266,1667.3824
-29,699.6626,1788.5844
-30,719.4334,1907.885
-35,741.6004,1991.3134
-40,766.883,2133.916
-50,825.979,3843.086
