Depth[m],Vs[m/sec],Vp[m/sec]
-0,119.49982,279.9614
-1,119.49982,279.9614
-2,148.70198,326.6252
-3,173.20752,361.7546
-4,223.637,376.3458
-5,226.998,386.1556
-6,229.9492,396.16
-7,232.4798,408.4886
-8,234.7774,423.5764
-9,237.4844,446.4462
-10,239.7628,468.2258
-11,242.2654,490.7918
-12,245.2326,519.0606
-13,248.848,552.8792
-14,253.5062,581.1948
-15,258.8442,607.5258
-16,265.4404,633.266
-17,273.8146,665.52
-18,280.7968,696.215
-19,289.9074,729.93
-20,300.5238,767.2842
-21,308.5156,809.2906
-22,316.189,847.517
-23,324.7604,899.4522
-24,332.1286,935.550399999999
-25,340.2972,964.757199999999
-26,346.3478,992.1076
-27,354.1164,1013.7518
-28,361.3052,1036.8664
-29,369.203,1061.024
-30,376.15,1088.8724
-35,385.1058,1113.1948
-40,393.6758,1152.4338
-45,408.0254,1199.4604
-50,424.3136,1253.3054
-55,440.827,1324.0962
-60,460.3374,1399.488
-65,488.0564,1464.4602
-70,508.4798,1530.9324
-75,533.0574,1609.1782
-80,562.2318,1727.1152
-85,584.6064,1815.4904
-90,606.5464,1898.765
-95,632.7634,2027.2748
-100,658.7108,2282.77
-110,700.1246,2525.61
