Depth[m],Vs[m/sec],Vp[m/sec]
-0,166.204,388.0332
-1,166.204,388.0332
-2,277.4054,480.2302
-3,292.894,521.3334
-4,304.379,559.4576
-5,312.4998,639.5068
-6,323.2438,715.9196
-7,339.5534,797.316
-8,361.946,852.9944
-9,438.8808,901.1526
-10,487.9594,943.7352
-11,535.011,989.471199999999
-12,567.5154,1027.16
-13,594.836,1059.3738
-14,618.7732,1102.5246
-15,636.0772,1146.6594
-16,655.5198,1191.063
-17,677.9846,1242.2054
-18,701.9194,1290.1872
-19,724.3402,1335.0178
-20,745.6446,1382.6392
-21,768.539,1435.9942
-22,791.6884,1507.2032
-23,817.425,1580.6242
-24,846.87,1656.0852
-25,872.8842,1729.2356
-26,901.4322,1810.5008
-27,931.5824,1896.0054
-28,974.891,1988.148
-29,1042.11,2091.4756
-30,1128.0718,2222.038
-35,1207.347,2471.7
-45,1333.0028,2757.54
