Depth[m],Vs[m/sec],Vp[m/sec]
-0,145.56118,337.317
-1,145.56118,337.317
-2,180.62306,393.3836
-3,219.95778,438.4246
-4,236.567,473.6482
-5,257.076,506.5476
-6,287.907,553.8546
-7,323.3336,586.198
-8,356.578,623.123
-9,373.8356,651.7378
-10,388.168,676.0164
-11,397.7898,704.8692
-12,405.822,730.1494
-13,412.7968,774.2798
-14,418.5606,821.208
-15,426.1144,877.6424
-16,433.9988,925.8752
-17,441.2946,978.752
-18,447.9506,1029.2556
-19,456.7532,1093.2984
-20,465.6374,1162.7878
-21,474.2772,1226.1498
-22,484.2482,1279.8338
-23,494.6614,1345.8912
-24,504.0312,1427.2278
-25,513.8334,1494.6426
-26,526.8824,1554.8238
-27,541.6188,1624.7476
-28,560.8938,1715.3174
-29,581.0866,1795.9004
-30,604.4142,1926.4674
-40,655.0158,2115.1874
