Depth[m],Vs[m/sec],Vp[m/sec]
-0,251.8076,436.882
-1,251.8076,436.882
-2,270.1278,451.5176
-3,278.5476,465.553
-4,282.9536,481.404
-5,287.3646,491.054
-6,292.7314,503.0568
-7,298.2006,523.4876
-8,306.2886,546.7502
-9,314.2868,576.5844
-10,324.7318,603.0944
-11,334.2836,645.3062
-12,342.3694,673.911
-13,348.6724,697.3918
-14,354.192,728.4026
-15,357.855,750.1184
-16,362.1118,775.7642
-17,366.5026,835.1996
-18,371.3496,880.3536
-19,376.6424,963.0784
-20,382.722,997.396
-21,388.4646,1025.2768
-22,394.4432,1053.838
-23,403.4386,1084.994
-24,415.2116,1127.1508
-25,428.339,1190.0564
-26,469.0838,1230.4066
-27,506.0666,1270.8402
-28,547.946,1311.5206
-29,582.752,1368.1434
-30,615.4128,1577.11
-35,646.4844,1621.9454
-40,800.5418,1649.3054
-45,841.0676,1682.1474
-50,889.451,1718.3228
-55,947.0574,1764.577
-60,969.2384,1803.1902
-65,991.0414,1845.8852
-70,1005.5336,1891.1848
-75,1017.9092,1931.4804
-80,1033.2834,1985.0244
-85,1047.0496,2048.1028
-90,1061.5108,2131.0868
-95,1083.5704,2231.606
-100,1100.7474,2356.99
-110,1133.142,2644.12
