Depth[m],Vs[m/sec],Vp[m/sec]
-0,197.49358,500.5182
-1,197.49358,500.5182
-2,367.8426,758.3138
-3,510.9422,994.007000000001
-4,546.3858,1055.665
-5,661.2898,1113.5058
-6,681.2428,1143.4566
-7,695.2496,1175.9154
-8,708.447,1204.4616
-9,720.0438,1244.5282
-10,728.091,1295.9634
-11,737.541,1399.742
-12,748.5948,1494.768
-13,760.4206,1586.484
-14,776.466,1673.8976
-15,799.2276,1727.4544
-16,833.4792,1775.522
-17,911.7534,1831.3468
-18,988.4378,1898.17
-19,1046.9136,2001.756
-20,1078.5308,2087.8148
-21,1105.356,2166.4298
-22,1134.2138,2250.774
-23,1162.0126,2362.564
-24,1202.0848,2764.962
-25,1243.4392,2911.776
-26,1292.1708,3035.442
-27,1386.5868,3132.482
-28,1541.0322,3222.168
-29,1663.3288,3304.374
-30,1744.1344,3464.994
-40,1891.6998,4199.048
