Depth[m],Vs[m/sec],Vp[m/sec]
-0,154.0017,384.8778
-1,154.0017,384.8778
-2,167.40788,415.1058
-3,229.449,433.2884
-4,261.9394,449.7932
-5,272.3596,463.3634
-6,281.183,476.146
-7,288.479,488.6
-8,294.1108,501.2834
-9,298.884,512.4098
-10,303.8102,531.32
-11,308.1978,546.6344
-12,313.3808,567.1132
-13,317.5166,586.5916
-14,322.0522,615.2918
-15,328.5688,644.6804
-16,335.879,699.3428
-17,343.3926,761.8638
-18,351.3818,845.163
-19,359.9554,914.859400000001
-20,367.588,985.95
-21,379.419,1058.9058
-22,392.827,1162.1108
-23,408.2434,1304.0302
-24,422.217,1446.5854
-25,438.232,1546.1214
-26,458.7472,1646.1988
-27,480.1976,1754.118
-28,509.801,1892.3504
-29,542.7824,2046.2846
-30,582.2608,2212.708
-35,624.8912,2478.79
-45,674.1496,2780.2
