Depth[m],Vs[m/sec],Vp[m/sec]
-0,167.85044,341.632
-1,167.85044,341.632
-2,193.10564,372.1046
-3,242.9774,417.8888
-4,255.5546,435.4178
-5,262.4016,451.65
-6,267.348,464.6756
-7,272.6794,487.4764
-8,278.0332,504.4552
-9,283.4386,519.9172
-10,288.419,536.949
-11,295.5286,553.0122
-12,302.1066,571.002
-13,307.3842,584.901
-14,313.4178,602.3884
-15,318.6662,623.9156
-16,323.628,646.9556
-17,329.5472,667.844
-18,335.6316,692.1
-19,341.7274,715.2668
-20,346.606,740.9528
-21,351.9144,774.2688
-22,358.3152,814.5144
-23,363.5122,876.6098
-24,370.5504,942.3506
-25,377.2868,988.3644
-26,383.4568,1027.7728
-27,390.4414,1073.2752
-28,395.1064,1106.0038
-29,401.9698,1140.38
-30,407.9988,1179.5296
-35,414.4954,1221.8158
-40,419.8242,1261.3634
-45,426.4978,1311.6556
-50,434.2424,1382.6242
-55,444.0554,1484.2466
-60,455.6672,1632.6234
-65,471.8818,1866.7484
-75,495.8754,2847.282
