Depth[m],Vs[m/sec],Vp[m/sec]
-0,172.79428,512.0362
-1,172.79428,512.0362
-2,247.374,590.3578
-3,347.3142,689.114
-4,371.8638,725.6004
-5,410.4162,764.3674
-6,449.0442,791.0942
-7,468.0788,812.6984
-8,479.9798,833.347
-9,488.3484,851.9536
-10,496.2276,869.1822
-11,502.7052,890.7176
-12,508.7056,916.1346
-13,515.855,946.4324
-14,521.4282,973.6172
-15,526.5728,1006.064
-16,533.7722,1032.5176
-17,540.0332,1065.871
-18,548.4176,1126.1608
-19,555.1446,1195.7894
-20,562.1938,1264.8662
-21,568.8492,1367.385
-22,577.7216,1437.552
-23,588.7062,1515.4792
-24,601.8328,1627.0086
-25,620.226,1725.1264
-26,642.4974,1813.474
-27,677.4938,1887.1922
-28,725.3332,2029.3592
-29,788.7382,2143.2214
-30,840.595,2238.4544
-35,881.2314,2342.036
-45,954.9014,2493.856
