Depth[m],Vs[m/sec],Vp[m/sec]
-0,165.77892,373.9522
-1,165.77892,373.9522
-2,199.77676,478.0532
-3,335.5926,663.839
-4,349.3546,711.6148
-5,362.2416,769.6778
-6,380.9984,818.1696
-7,402.3018,866.173
-8,431.5866,913.6886
-9,457.6962,958.3116
-10,482.4588,995.8686
-11,505.6926,1030.6468
-12,538.786,1069.726
-13,571.4734,1104.8924
-14,604.3738,1142.921
-15,641.7618,1175.5506
-16,663.5458,1201.2766
-17,686.3522,1241.1394
-18,709.9378,1274.902
-19,731.3976,1309.6476
-20,756.8642,1344.6302
-21,782.5562,1390.2572
-22,806.174,1447.7564
-23,830.357,1511.363
-24,852.921600000001,1565.2248
-25,874.6456,1625.8906
-26,890.0496,1686.9628
-27,909.9504,1734.9422
-28,930.1022,1794.9684
-29,966.0846,1855.1446
-30,1004.927,1933.3542
-35,1043.3258,2067.1144
-40,1099.2608,2271.6386
-50,1187.8142,2593.682
