Depth[m],Vs[m/sec],Vp[m/sec]
-0,175.82208,312.0364
-1,175.82208,312.0364
-2,231.1778,445.7334
-3,293.0576,636.2644
-4,399.6936,795.7814
-5,433.7614,929.4916
-6,464.2434,1025.222
-7,498.2502,1097.8942
-8,522.2544,1152.6416
-9,541.354,1226.1104
-10,560.8634,1326.2726
-11,577.6948,1401.6006
-12,596.3348,1459.043
-13,616.4798,1522.4126
-14,638.681,1575.6184
-15,661.9626,1619.0678
-16,695.7816,1674.0394
-17,741.774,1733.2294
-18,798.6468,1783.7622
-19,846.615600000001,1843.3524
-20,887.7378,1902.0616
-21,921.6444,1955.6504
-22,960.6348,2014.5472
-23,991.6398,2061.0144
-24,1033.961,2116.1662
-25,1080.6828,2180.747
-26,1135.461,2248.729
-27,1195.0156,2327.432
-28,1241.8628,2413.782
-29,1293.1566,2504.114
-30,1362.8502,2652.64
-40,1596.9012,3005.262
