Depth[m],Vs[m/sec],Vp[m/sec]
-0,195.64102,432.6614
-1,195.64102,432.6614
-2,226.5298,475.545
-3,326.6488,597.0744
-4,376.1564,628.9272
-5,390.5678,643.1232
-6,396.2666,651.8318
-7,402.83,661.9226
-8,407.502,671.885
-9,412.5026,681.2448
-10,416.8278,690.7394
-11,420.385,699.0584
-12,425.1778,707.6178
-13,429.9038,721.0692
-14,434.8762,732.2604
-15,439.3704,747.7958
-16,443.028,764.132
-17,446.949,782.36
-18,452.0328,812.7934
-19,457.0482,843.6898
-20,461.2546,879.4748
-21,465.4646,924.3824
-22,469.7024,959.2074
-23,475.3434,1024.7804
-24,479.3042,1069.8238
-25,484.2816,1100.7048
-26,489.9738,1127.1678
-27,494.9716,1159.0084
-28,498.7604,1202.0332
-29,502.5968,1242.72
-30,507.4334,1296.5164
-35,513.2374,1440.7786
-40,518.8814,1593.9616
-45,527.8888,1685.6502
-50,538.598,1743.7216
-55,557.7252,1800.2034
-60,575.3462,1877.2344
-65,598.4644,1923.8344
-70,624.5236,2004.7354
-75,651.7494,2124.8282
-85,687.36,2494.7474
