Depth[m],Vs[m/sec],Vp[m/sec]
-0,123.38434,359.267
-1,123.38434,359.267
-2,166.15444,403.2928
-3,204.60416,459.7184
-4,220.9536,484.8096
-5,240.7296,520.8636
-6,261.402,558.5304
-7,284.3704,595.6172
-8,300.8802,638.486
-9,314.3762,669.8382
-10,325.598,714.9466
-11,331.8626,749.9574
-12,335.9156,777.311
-13,340.9874,824.558
-14,344.8546,875.396
-15,347.3964,929.6626
-16,351.514,989.8224
-17,354.4934,1026.9632
-18,356.2464,1075.2482
-19,358.5984,1125.0586
-20,360.9408,1161.1756
-21,363.5018,1189.9184
-22,365.7752,1221.7222
-23,367.6924,1252.4662
-24,370.339,1283.2928
-25,373.2922,1312.996
-26,375.5272,1348.8014
-27,378.2176,1389.0268
-28,381.8978,1433.968
-29,385.9726,1487.4698
-30,389.8004,1546.3244
-35,393.8532,1644.124
-40,399.6586,1807.8654
-45,409.0298,2157.0072
-55,423.6004,2961.416
