Depth[m],Vs[m/sec],Vp[m/sec]
-0,452.3398,744.1282
-1,452.3398,744.1282
-2,463.8452,827.5276
-3,566.8234,1061.6556
-4,600.1784,1126.7898
-5,719.1036,1224.3382
-6,754.6964,1327.6078
-7,779.4816,1578.348
-8,821.582200000001,1664.4858
-9,838.4534,1745.8472
-10,906.1696,1859.2874
-11,938.1178,2129.2802
-12,959.862,2190.076
-13,983.2366,2254.35
-14,1005.3416,2300.644
-15,1042.5148,2340.684
-16,1192.5068,2388.244
-17,1247.6998,2434.226
-18,1430.104,2493.918
-19,1489.405,2576.612
-20,1530.2332,2693.662
-21,1582.9448,2809.05
-22,1628.7932,2914.278
-23,1685.9942,2992.336
-24,1730.864,3049.156
-25,1830.6122,3099.92
-26,1865.241,3142.706
-27,1907.177,3188.774
-28,1944.5484,3238.36
-29,1974.915,3315.686
-30,2018.705,3409.12
-35,2091.6014,3700.048
-40,2184.938,3907.298
-50,2685.002,4494.244
