Depth[m],Vs[m/sec],Vp[m/sec]
-0,138.6034,362.8644
-1,138.6034,362.8644
-2,187.36216,389.193
-3,220.1294,477.8104
-4,269.7534,496.6208
-5,285.5548,511.759
-6,295.4496,526.265
-7,306.6446,540.6852
-8,317.4874,551.6758
-9,326.4606,566.753
-10,334.8738,580.5256
-11,343.3362,595.597
-12,350.8476,611.8512
-13,357.5092,631.8482
-14,365.5374,655.7496
-15,375.7454,679.8974
-16,385.0888,706.4216
-17,392.4038,735.3482
-18,400.3392,768.1376
-19,406.2936,813.9132
-20,413.441,849.182
-21,420.542,890.0822
-22,427.1078,926.412
-23,434.2406,967.0412
-24,441.1208,1027.522
-25,449.1466,1102.3918
-26,457.2078,1167.7458
-27,464.2714,1224.3798
-28,470.3176,1271.4196
-29,478.2724,1313.676
-30,484.2986,1355.4306
-35,492.896,1391.7724
-40,499.4542,1442.491
-45,506.198,1482.0254
-50,513.9416,1537.7184
-55,524.9652,1604.821
-60,536.9,1690.665
-65,551.8426,1795.3932
-70,565.748,1936.4544
-75,592.1606,2078.9742
-85,630.57,2264.7094
