Depth[m],Vs[m/sec],Vp[m/sec]
-0,233.1298,421.1464
-1,233.1298,421.1464
-2,255.998,465.0642
-3,273.443,496.8476
-4,299.4424,531.6132
-5,320.7108,557.6912
-6,335.1316,588.2584
-7,345.0856,621.2522
-8,354.241,657.228
-9,361.3968,693.4594
-10,365.8746,735.0946
-11,371.4266,777.042
-12,376.0304,820.1118
-13,379.9048,879.2706
-14,384.3666,949.966
-15,389.375,1009.7636
-16,395.0276,1087.2886
-17,401.1812,1144.9028
-18,405.5218,1195.7714
-19,410.8272,1249.444
-20,415.0636,1304.83
-21,420.2964,1372.5394
-22,426.5838,1455.368
-23,434.9096,1569.2208
-24,441.5528,1650.152
-25,450.3936,1745.4296
-26,458.8838,1793.6204
-27,469.7856,1876.5166
-28,481.4502,1961.7998
-29,498.9238,2088.6996
-30,517.7976,2263.948
-40,544.66,2467.8052
