Depth[m],Vs[m/sec],Vp[m/sec]
-0,407.4008,695.5616
-1,407.4008,695.5616
-2,419.4506,727.1868
-3,448.946,753.087
-4,463.6388,773.681
-5,472.5938,797.0402
-6,479.1308,815.8844
-7,485.1524,839.798
-8,490.3196,864.0544
-9,495.4838,890.0426
-10,500.8992,923.1748
-11,508.755,965.2192
-12,517.4676,1035.417
-13,529.168,1146.093
-14,542.666,1217.1432
-15,558.0504,1275.976
-16,576.3234,1334.5848
-17,594.3656,1376.246
-18,613.3868,1410.7538
-19,633.4684,1452.8654
-20,663.0242,1487.9016
-21,694.0108,1516.3646
-22,735.752,1562.38
-23,779.6964,1609.9012
-24,809.924,1668.3008
-25,851.464199999999,1723.596
-26,903.9844,1807.4418
-27,987.9174,1898.9278
-28,1050.6516,2015.0552
-29,1107.547,2135.6262
-30,1165.0536,2293.0338
-35,1239.5054,2654.242
-45,1352.0384,3065.158
