Depth[m],Vs[m/sec],Vp[m/sec]
-0,287.5346,526.4112
-1,287.5346,526.4112
-2,310.7814,547.401
-3,322.418,571.457
-4,339.0408,603.9238
-5,366.7242,643.659
-6,390.9316,665.8914
-7,403.5642,684.4332
-8,414.1938,702.6152
-9,419.0898,722.162
-10,424.0352,742.5828
-11,428.4042,764.0356
-12,432.9344,781.4232
-13,437.1764,806.861
-14,441.223,826.8712
-15,445.4006,854.1086
-16,449.9938,881.0638
-17,455.2332,906.1162
-18,460.5328,944.5554
-19,465.0978,980.2762
-20,471.1032,1028.3522
-21,479.0212,1082.096
-22,488.3328,1140.4994
-23,498.7742,1204.677
-24,510.2406,1271.9512
-25,527.035,1340.0408
-26,544.0138,1473.2862
-27,568.7612,1586.2964
-28,610.9596,1710.724
-29,672.7624,1808.3566
-30,722.9636,1918.4976
-40,785.6254,2211.297
