Depth[m],Vs[m/sec],Vp[m/sec]
-0,190.7693,371.7904
-1,190.7693,371.7904
-2,208.99856,397.0892
-3,227.2266,413.9448
-4,247.2552,428.7124
-5,257.8096,443.0754
-6,267.5368,459.024
-7,274.6978,476.9572
-8,281.5008,495.8436
-9,288.1148,520.6478
-10,294.7286,543.9582
-11,302.407,571.7686
-12,309.5576,612.3474
-13,317.0354,663.2148
-14,325.2112,702.0776
-15,335.8818,742.9174
-16,346.014,808.627
-17,359.5318,885.9632
-18,372.661,957.713
-19,389.1354,1052.9962
-20,405.72,1129.2012
-21,420.6802,1218.178
-22,444.9928,1297.5764
-23,464.6868,1361.8418
-24,484.7678,1441.3146
-25,504.6024,1550.2974
-26,530.3174,1734.6232
-27,556.2874,1835.0858
-28,578.2104,1930.2342
-29,606.3222,1992.2684
-30,630.024,2084.2842
-35,661.4126,2206.38
-45,705.9898,2503.1598
