Depth[m],Vs[m/sec],Vp[m/sec]
-0,264.792,563.8008
-1,264.792,563.8008
-2,286.7154,603.7156
-3,368.3886,672.626
-4,417.7216,715.1406
-5,434.506,741.437
-6,446.5964,767.2046
-7,458.4654,794.1662
-8,467.2172,821.9568
-9,474.6354,849.2074
-10,483.6596,880.9532
-11,493.54,921.9448
-12,500.7408,960.055
-13,511.4546,1008.0936
-14,527.4206,1050.9118
-15,541.5976,1116.7602
-16,558.1034,1161.4326
-17,585.384,1219.0666
-18,612.4624,1282.1748
-19,648.5204,1357.1714
-20,690.0824,1424.023
-21,727.8476,1480.3416
-22,763.5748,1555.3746
-23,818.8466,1634.9128
-24,874.7282,1706.3216
-25,919.0784,1777.6802
-26,957.747,1859.9324
-27,999.9476,1978.0672
-28,1034.2776,2082.6726
-29,1079.674,2252.0414
-30,1139.2084,2555.24
-40,1241.7296,2807.048
