Depth[m],Vs[m/sec],Vp[m/sec]
-0,225.7632,499.3798
-1,225.7632,499.3798
-2,416.043,934.5404
-3,545.5804,1179.877
-4,625.5052,1239.3296
-5,773.434,1273.468
-6,788.3908,1293.1
-7,799.6176,1307.8062
-8,807.1328,1325.4608
-9,814.9638,1340.6702
-10,821.7714,1358.7152
-11,828.8216,1371.56
-12,838.4936,1391.3198
-13,848.7814,1410.0058
-14,856.16,1429.4014
-15,864.3794,1448.412
-16,874.3736,1472.519
-17,883.277,1492.2006
-18,894.013,1514.9358
-19,903.6296,1534.0694
-20,912.9408,1558.0292
-21,922.445,1587.14
-22,932.8036,1619.498
-23,944.0836,1657.2132
-24,957.2238,1686.234
-25,969.8284,1743.6644
-26,981.9232,1824.1162
-27,996.6098,1889.7988
-28,1009.807,1985.576
-29,1027.5912,2397.522
-30,1044.5956,2479.174
-35,1072.7314,2653.746
-45,1113.3382,2862.014
