Depth[m],Vs[m/sec],Vp[m/sec]
-0,180.08896,581.1188
-1,180.08896,581.1188
-2,550.8562,1217.4068
-3,572.3528,1277.9014
-4,656.8968,1455.9962
-5,672.2032,1540.1856
-6,827.0744,2269.512
-7,1006.071,2305.734
-8,1036.0184,2352.754
-9,1281.3008,2389.28
-10,1306.5556,2415.25
-11,1350.0582,2451.124
-12,1414.4696,2479.118
-13,1506.5454,2509.276
-14,1527.8698,2542.832
-15,1547.1804,2585.432
-16,1562.187,2621.872
-17,1592.1846,2653.68
-18,1610.5848,2702.932
-19,1627.927,2783.158
-20,1644.4802,3131.022
-21,1663.227,3208.904
-22,1681.626,3303.644
-23,1704.4306,3358.506
-24,1735.7882,3415.382
-25,1760.2328,3465.718
-26,1789.478,3506.686
-27,1813.1496,3560.788
-28,1845.7284,3606.432
-29,1883.4672,3987.238
-30,1927.3838,4130.03
-35,2045.8918,4231.188
-40,2672.64,4430.658
-50,2757.118,4589.992
