Depth[m],Vs[m/sec],Vp[m/sec]
-0,190.06096,330.2234
-1,190.06096,330.2234
-2,269.5072,534.2918
-3,346.6574,800.7514
-4,487.44,876.4518
-5,507.7228,988.8422
-6,527.8338,1033.2756
-7,549.598,1076.4856
-8,572.6928,1130.6348
-9,603.063,1199.9678
-10,624.8172,1269.4876
-11,643.3448,1391.9906
-12,670.3444,1471.0856
-13,698.9654,1541.428
-14,726.1416,1594.623
-15,761.1192,1649.9484
-16,823.1558,1695.548
-17,865.2872,1748.179
-18,899.185,1794.091
-19,931.973,1860.6884
-20,957.3106,1904.0546
-21,980.6924,1964.6782
-22,1002.5926,2014.5094
-23,1021.0588,2061.5928
-24,1047.8978,2128.3812
-25,1073.8016,2200.8266
-26,1107.9646,2271.694
-27,1135.6008,2363.716
-28,1175.8732,2441.016
-29,1209.3416,2518.496
-30,1252.2544,2602.422
-35,1309.4954,2687.99
-45,1432.1576,2815.404
