Depth[m],Vs[m/sec],Vp[m/sec]
-0,205.67998,394.1436
-1,205.67998,394.1436
-2,220.1778,467.8948
-3,319.357,577.2666
-4,343.8724,617.9958
-5,375.154,649.9906
-6,394.4618,673.556
-7,411.8424,702.1592
-8,425.528,728.0534
-9,438.4606,752.814
-10,449.8304,786.7942
-11,463.2688,825.629
-12,473.4702,866.3008
-13,483.2582,907.275
-14,495.2064,943.0464
-15,507.2818,975.3768
-16,520.1652,1010.313
-17,534.473,1046.1054
-18,552.5678,1091.7826
-19,571.636,1128.5996
-20,596.5386,1181.2836
-21,615.5448,1238.7112
-22,645.275,1288.0478
-23,667.4704,1331.301
-24,690.6696,1373.5274
-25,716.6604,1421.3282
-26,740.2436,1474.4652
-27,765.481,1534.7752
-28,787.4132,1602.3716
-29,818.187,1701.7368
-30,840.0492,1824.6714
-35,870.9068,1971.182
-40,917.7588,2176.2854
-50,1007.967,2553.146
