Depth[m],Vs[m/sec],Vp[m/sec]
-0,202.08366,420.7556
-1,202.08366,420.7556
-2,220.9524,449.1314
-3,246.8086,476.701
-4,286.2834,493.024
-5,297.4586,503.4884
-6,305.4538,517.6758
-7,311.3098,530.0172
-8,314.9622,545.8198
-9,317.6706,559.53
-10,319.7694,576.9546
-11,322.2916,595.488
-12,324.596,616.4686
-13,327.8058,640.6384
-14,331.7324,670.1598
-15,334.6448,701.4734
-16,337.6958,740.8762
-17,341.0496,797.5694
-18,343.4916,855.744
-19,347.792,922.9444
-20,351.8666,991.7174
-21,357.1654,1041.015
-22,362.8894,1093.4808
-23,368.6472,1159.5732
-24,372.9806,1222.7538
-25,381.1386,1281.7928
-26,389.0348,1357.9382
-27,398.1698,1441.6688
-28,410.2984,1581.1606
-29,422.0918,1699.3732
-30,445.1902,1889.8874
-40,469.1612,2261.0286
