Depth[m],Vs[m/sec],Vp[m/sec]
-0,160.54926,509.4924
-1,160.54926,509.4924
-2,193.52406,559.4082
-3,343.7384,885.362
-4,364.1908,1001.0476
-5,390.8724,1067.072
-6,433.9468,1117.3946
-7,505.0356,1162.2024
-8,581.4938,1206.479
-9,658.6426,1243.3642
-10,700.1118,1287.5666
-11,730.1122,1341.5502
-12,753.0658,1394.8824
-13,771.0324,1446.5802
-14,789.3206,1501.3924
-15,808.0952,1546.0554
-16,821.453,1599.9938
-17,838.0032,1662.6028
-18,859.229,1734.1848
-19,876.1486,1799.0332
-20,899.9482,1873.7074
-21,918.8962,1954.4432
-22,949.4792,2050.1338
-23,977.4344,2177.2988
-24,1013.071,2340.1954
-25,1058.082,2480.526
-35,1112.3858,2669.29
