Depth[m],Vs[m/sec],Vp[m/sec]
-0,252.6076,498.711
-1,252.6076,498.711
-2,260.5236,521.2106
-3,270.4268,548.81
-4,297.555,582.512
-5,312.4468,622.7446
-6,330.1122,654.5202
-7,344.874,686.0572
-8,364.562,712.5858
-9,394.3202,742.915
-10,417.8868,769.9586
-11,450.8624,797.8716
-12,482.3698,833.0588
-13,507.0548,868.1332
-14,526.4936,895.2446
-15,538.194,928.21
-16,549.9798,950.9068
-17,558.6446,978.8826
-18,567.6534,1009.4908
-19,575.1046,1044.8312
-20,579.9904,1085.8386
-21,585.796,1153.5586
-22,590.714,1237.5362
-23,595.7714,1303.6246
-24,600.3884,1357.5452
-25,605.381,1399.6918
-26,610.654,1444.5306
-27,615.253,1486.9336
-28,620.1768,1526.5094
-29,625.6016,1558.8942
-30,632.754800000001,1597.8002
-35,640.825,1636.083
-40,648.0798,1699.938
-45,657.9174,1811.8324
-50,674.8572,1927.3032
-55,694.5148,2045.9632
-65,727.6206,2218.0978
