Depth[m],Vs[m/sec],Vp[m/sec]
-0,101.9373,321.6702
-1,101.9373,321.6702
-2,208.2727,622.435
-3,284.5168,804.5976
-4,299.4932,863.0066
-5,317.686,901.826
-6,349.8162,939.978
-7,426.5882,973.5448
-8,556.7584,1004.1894
-9,595.5428,1026.8304
-10,619.6896,1050.1776
-11,636.1182,1072.8422
-12,646.9638,1098.3686
-13,661.0672,1122.8048
-14,670.324,1151.7904
-15,679.9404,1185.7602
-16,687.7362,1218.3606
-17,696.036,1254.351
-18,705.5698,1307.9338
-19,714.018,1376.6976
-20,723.35,1432.0834
-21,735.8802,1482.2476
-22,746.268399999999,1536.7024
-23,760.028,1594.9998
-24,773.39,1653.1512
-25,788.8204,1704.4464
-26,810.6544,1775.1272
-27,845.235,1866.7524
-28,896.3176,1962.4072
-29,984.4532,2078.205
-30,1059.5608,2291.5832
-40,1120.468,2505.51
