Depth[m],Vs[m/sec],Vp[m/sec]
-0,224.9184,604.9748
-1,224.9184,604.9748
-2,248.1672,645.572
-3,320.972,724.9996
-4,345.5998,781.0038
-5,375.1546,841.816
-6,450.8744,883.3564
-7,526.3798,909.572
-8,549.6092,930.6244
-9,563.8794,952.0736
-10,571.4918,972.1674
-11,580.0796,990.7912
-12,589.7362,1014.1988
-13,596.4936,1036.0196
-14,602.7824,1062.693
-15,608.8584,1093.5918
-16,613.568,1133.4922
-17,619.9758,1182.0944
-18,625.359,1235.0626
-19,632.987,1333.591
-20,640.001,1419.6574
-21,646.159,1519.0102
-22,652.7776,1609.3204
-23,661.1322,1679.9658
-24,669.7484,1745.9498
-25,678.5226,1818.9686
-26,687.7244,1932.9338
-27,699.2356,2042.4238
-28,711.4326,2128.1522
-29,726.478,2201.7656
-30,747.3828,2274.3998
-35,767.2356,2390.228
-45,801.1354,2843.844
