Depth[m],Vs[m/sec],Vp[m/sec]
-0,244.9742,398.5974
-1,244.9742,398.5974
-2,463.6522,945.513
-3,488.1972,1055.5552
-4,598.3806,1194.2584
-5,970.8242,1649.5782
-6,997.5364,1731.7854
-7,1023.124,1811.7114
-8,1054.3492,1891.5536
-9,1105.3708,1959.5398
-10,1139.2776,2003.3332
-11,1199.2928,2042.3018
-12,1234.8264,2100.6844
-13,1254.1796,2144.616
-14,1265.5906,2178.722
-15,1277.9842,2215.764
-16,1290.7096,2248.416
-17,1303.1196,2291.628
-18,1317.5132,2330.832
-19,1333.61,2400.992
-20,1361.1076,2618.578
-21,1414.7356,2686.956
-22,1465.6218,2727.472
-23,1487.8082,2784.084
-24,1507.348,2865.216
-25,1524.0236,2946.672
-26,1542.227,3050.032
-27,1560.661,3142.856
-28,1585.1094,3431.628
-29,1609.079,3542.904
-30,1635.8866,3649.788
-35,1664.3538,3993.75
-40,1708.0556,4137.258
-50,1763.5444,4266.774
