Depth[m],Vs[m/sec],Vp[m/sec]
-0,210.1632,455.6692
-1,210.1632,455.6692
-2,287.6656,513.179
-3,319.4302,551.6578
-4,337.8868,581.9334
-5,351.3866,603.9002
-6,363.048,624.9578
-7,372.3452,644.1812
-8,380.8436,671.2076
-9,390.1562,698.7124
-10,399.5084,725.5808
-11,408.633,751.793
-12,417.5582,775.4418
-13,423.9934,803.6124
-14,432.3412,840.3688
-15,439.0004,872.791
-16,444.9902,903.9024
-17,449.7162,937.6
-18,456.1202,973.1336
-19,461.6314,1012.519
-20,467.0602,1051.6144
-21,473.9022,1089.1934
-22,480.7928,1127.3166
-23,486.3886,1164.41
-24,492.9918,1203.3144
-25,500.1696,1241.4952
-26,506.9498,1288.9878
-27,514.657,1331.0046
-28,523.8656,1378.0244
-29,532.36,1455.922
-30,546.5876,1552.0152
-35,557.912,1665.1924
-40,574.7588,1817.6848
-45,599.8592,2164.7026
-55,648.6058,2481.5526
