Depth[m],Vs[m/sec],Vp[m/sec]
-0,243.7326,399.1452
-1,243.7326,399.1452
-2,284.7254,459.6108
-3,289.179,468.712
-4,451.2848,796.0072
-5,455.551,861.7952
-6,459.7826,1019.618
-7,464.3898,1079.8416
-8,468.7938,1113.56
-9,475.4752,1186.8726
-10,490.609,1238.1282
-11,532.6442,1337.7532
-12,602.284,1406.719
-13,711.022,1471.0016
-14,744.478199999999,1588.3874
-15,816.7858,1650.085
-16,876.4242,1724.8778
-17,948.586,1802.1008
-18,981.3718,1830.3684
-19,1019.4744,1892.7984
-20,1041.8562,2009.0964
-21,1056.369,2114.5728
-22,1071.617,2226.342
-23,1083.0658,2281.026
-24,1098.6994,2322.444
-25,1115.8342,2372.038
-26,1139.3916,2436.102
-27,1165.2484,2542.684
-28,1202.1556,2649.124
-29,1254.5434,2709.472
-30,1558.3388,2818.276
-35,1727.3712,2922.612
-40,1769.8438,2994.602
-45,1814.3946,3079.3
-50,1875.0462,3234.944
-55,1961.7896,3701.46
-60,2002.449,3772.772
-65,2054.734,3853.826
-75,2178.218,4032.16
