Depth[m],Vs[m/sec],Vp[m/sec]
-0,472.4228,1200.4336
-1,472.4228,1200.4336
-2,475.4556,1383.773
-3,517.8808,1834.0922
-4,818.7524,1869.9438
-5,977.7844,1955.183
-6,1052.0436,2044.475
-7,1180.6472,2129.834
-8,1191.3336,2191.462
-9,1273.7704,2594.352
-10,1352.8782,2614.024
-11,1377.5778,2649.82
-12,1409.9102,2809.992
-13,1431.7104,2829.328
-14,1516.4086,2846.794
-15,1548.9756,2872.256
-16,1576.6752,2890.68
-17,1668.29,2910.162
-18,1795.1542,2946.348
-19,1840.199,2990.88
-20,1854.8168,3031.662
-21,1907.4402,3084.142
-22,1928.876,3138.252
-23,1943.2234,3201.626
-24,1970.9948,3293.446
-25,1985.1446,3325.506
-26,2005.7252,3374.484
-27,2021.3504,3408.252
-28,2042.8616,3448.574
-29,2056.0192,3476.892
-30,2073.6492,3504.864
-35,2089.276,3750.592
-45,2476.278,4342.272
