Depth[m],Vs[m/sec],Vp[m/sec]
-0,143.40042,401.6006
-1,143.40042,401.6006
-2,176.79618,472.159
-3,235.242,510.4318
-4,286.0008,548.4548
-5,315.8272,587.5942
-6,344.2268,631.2864
-7,367.2178,679.3044
-8,390.176,713.7078
-9,420.589,753.0972
-10,444.8558,788.9898
-11,467.3178,819.0246
-12,483.0228,851.0648
-13,498.5062,892.7642
-14,510.4354,942.564
-15,523.7462,1013.0318
-16,536.2244,1070.0132
-17,549.1482,1111.1048
-18,559.1492,1151.8146
-19,569.567,1191.1258
-20,580.2676,1241.9092
-21,593.3084,1288.8426
-22,606.8852,1336.5816
-23,617.7192,1387.5894
-24,631.8834,1433.6442
-25,649.1372,1491.9416
-26,663.4972,1561.0076
-27,681.2806,1630.117
-28,700.8606,1732.5702
-29,718.9746,1833.5878
-30,740.203,1931.0594
-35,760.4138,2056.202
-45,808.5742,2352.2034
