Depth[m],Vs[m/sec],Vp[m/sec]
-0,181.7143,374.3978
-1,181.7143,374.3978
-2,246.7916,443.2696
-3,260.2082,510.6044
-4,278.7514,557.6218
-5,311.2924,620.995
-6,346.074,663.8868
-7,372.9476,707.952
-8,397.2708,746.944
-9,417.9098,792.3806
-10,436.1574,822.2012
-11,455.3806,864.279
-12,479.7892,902.1466
-13,501.404,945.046
-14,521.0998,987.5796
-15,547.7646,1044.1158
-16,568.0006,1092.2698
-17,589.5812,1143.1854
-18,614.1918,1192.0658
-19,635.7346,1239.0828
-20,656.8022,1297.2976
-21,680.2214,1364.2236
-22,707.3008,1423.9224
-23,735.1898,1494.9646
-24,765.485200000001,1562.0468
-25,792.936,1629.3394
-26,820.2842,1703.7752
-27,853.6832,1773.6072
-28,882.2274,1853.3158
-29,930.206,1952.918
-30,973.8876,2067.0742
-35,1038.7282,2230.388
-45,1169.6912,2536.776
