Depth[m],Vs[m/sec],Vp[m/sec]
-0,122.08226,314.5166
-1,122.08226,314.5166
-2,159.56866,367.5092
-3,195.92868,402.3856
-4,213.5219,443.8578
-5,228.1426,480.7276
-6,256.1552,517.5264
-7,274.8906,553.7058
-8,290.589,581.097
-9,299.995,612.3446
-10,309.0396,636.533
-11,316.7892,669.4858
-12,322.6034,707.9916
-13,328.2676,758.9668
-14,332.3062,823.7834
-15,337.1448,917.2166
-16,341.4382,989.7368
-17,346.1432,1033.5938
-18,348.7838,1083.1462
-19,352.8468,1139.294
-20,356.8626,1200.057
-21,361.4024,1327.2882
-22,365.4284,1413.5716
-23,371.6218,1501.6374
-24,377.4056,1573.8382
-25,383.1108,1655.1294
-26,388.7668,1724.8092
-27,399.1502,1814.7054
-28,407.1826,1900.932
-29,416.5486,1970.6424
-30,429.637,2066.9288
-35,447.4784,2172.8722
-45,480.3366,2364.474
