Depth[m],Vs[m/sec],Vp[m/sec]
-0,154.80374,298.5058
-1,154.80374,298.5058
-2,175.5763,315.0632
-3,180.78232,333.7526
-4,186.81476,354.205
-5,193.73542,381.7508
-6,204.61334,412.4836
-7,230.3054,447.9458
-8,272.5668,504.3606
-9,304.952,543.4274
-10,330.1172,574.5716
-11,348.952,610.2798
-12,366.552,636.7506
-13,380.4882,672.4532
-14,391.979,715.7736
-15,401.2814,750.0376
-16,413.151,824.4106
-17,420.7284,978.9238
-18,429.6384,1093.4588
-19,438.8772,1191.9296
-20,444.634,1245.8876
-21,452.9684,1307.135
-22,460.4098,1369.1634
-23,467.9906,1411.6504
-24,476.5456,1459.76
-25,483.3076,1519.6168
-26,493.0634,1570.2782
-27,503.717,1633.5972
-28,515.6944,1735.3152
-29,530.3194,1890.32
-30,546.4496,2038.7218
-40,571.0278,2207.1326
