Depth[m],Vs[m/sec],Vp[m/sec]
-0,133.23742,267.486
-1,133.23742,267.486
-2,178.15842,351.6558
-3,186.42496,376.3652
-4,198.31152,404.156
-5,208.84296,432.5732
-6,216.7512,464.2566
-7,224.671,491.7882
-8,231.5284,522.3896
-9,236.317,553.9882
-10,239.9656,592.5056
-11,244.2224,626.852599999999
-12,248.5074,669.763
-13,252.118,700.7162
-14,255.6178,732.2938
-15,260.5562,760.3854
-16,264.7664,790.4338
-17,269.3202,825.7524
-18,274.356,858.7178
-19,279.9642,892.8554
-20,283.8244,937.7626
-21,291.421,983.316
-22,298.7498,1050.9358
-23,306.6908,1131.0976
-24,316.39,1230.4396
-25,326.4216,1313.5922
-26,340.3496,1383.107
-27,352.9408,1466.9848
-28,370.3164,1547.2626
-29,386.9764,1695.4538
-30,405.957,1853.0212
-35,427.3804,2002.65
-45,467.0534,2487.488
