Depth[m],Vs[m/sec],Vp[m/sec]
-0,97.7623,210.10054
-1,97.7623,210.10054
-2,127.87404,224.5868
-3,133.5079,243.4582
-4,139.0138,273.747
-5,145.6327,305.6168
-6,154.61806,347.392
-7,168.73528,415.3012
-8,187.45594,462.7968
-9,209.7718,505.6056
-10,230.92782,544.1266
-11,246.5836,581.016
-12,258.4636,642.0918
-13,268.1048,682.5102
-14,276.4732,716.2018
-15,284.4856,743.61
-16,292.0856,768.4316
-17,300.0706,791.4988
-18,306.9448,815.408
-19,313.237,842.1564
-20,319.65,871.8328
-21,324.897,899.7624
-22,331.1078,942.6532
-23,338.6506,977.8882
-24,345.5784,1008.8656
-25,353.4312,1037.047
-26,360.6262,1075.7752
-27,367.9838,1114.7888
-28,374.4754,1154.7734
-29,382.662,1201.6724
-30,392.3218,1246.2908
-35,401.841,1287.3454
-40,409.42,1333.0388
-45,419.8626,1392.3414
-50,429.8626,1463.7902
-55,441.5774,1579.523
-60,458.3376,1907.498
-65,474.6674,2378.1736
-70,499.287,2542.466
-80,536.3074,2741.446
