Depth[m],Vs[m/sec],Vp[m/sec]
-0,109.65856,259.8884
-1,109.65856,259.8884
-2,159.07158,322.4792
-3,250.0802,438.7528
-4,270.4138,485.1078
-5,288.2498,532.7778
-6,308.739,590.6568
-7,333.3156,655.036
-8,357.3236,717.2716
-9,381.801,775.5908
-10,400.2108,840.228
-11,418.9944,898.585
-12,437.7,957.864
-13,457.3706,1004.3914
-14,482.5178,1063.2204
-15,503.8184,1114.4372
-16,522.4514,1157.6906
-17,547.8586,1203.4656
-18,581.2326,1258.3826
-19,602.5028,1323.6292
-20,635.077,1386.3754
-21,660.5042,1442.863
-22,685.3624,1499.9224
-23,712.899,1553.8884
-24,743.8852,1607.4716
-25,780.3558,1665.2622
-26,828.5612,1746.2576
-27,874.2064,1801.3686
-28,916.845399999999,1887.8654
-29,960.6662,1977.4622
-30,1024.5418,2063.5272
-35,1127.1572,2205.9652
-45,1270.77,2680.232
