Depth[m],Vs[m/sec],Vp[m/sec]
-0,179.95486,430.1688
-1,179.95486,430.1688
-2,260.2796,442.626
-3,263.816,459.3692
-4,267.6958,476.1626
-5,273.4782,499.6934
-6,283.7028,531.895
-7,309.0268,576.498
-8,339.112,630.1506
-9,365.8776,686.5124
-10,387.0534,735.2318
-11,405.7328,773.6432
-12,420.4458,824.6098
-13,431.664,870.6628
-14,445.314,918.3374
-15,453.8446,963.252
-16,462.0418,1024.5718
-17,472.9402,1086.8834
-18,483.7146,1133.9988
-19,494.068,1176.8082
-20,502.314,1223.9436
-21,515.5446,1269.2946
-22,527.651,1328.701
-23,540.3948,1385.3606
-24,550.6728,1443.9884
-25,563.8046,1504.0156
-26,579.408,1555.0732
-27,591.569,1607.5782
-28,606.8234,1699.7892
-29,620.7306,1759.0518
-30,642.5966,1861.0648
-35,662.268,2047.3952
-45,704.0714,2325.7238
