Depth[m],Vs[m/sec],Vp[m/sec]
-0,129.17794,327.3984
-1,129.17794,327.3984
-2,140.13562,345.12
-3,170.15722,380.2096
-4,228.742,393.4814
-5,239.867,402.3322
-6,244.4302,411.3502
-7,249.1526,420.86
-8,252.5226,429.5486
-9,255.7184,436.7622
-10,258.797,446.6922
-11,261.302,455.1494
-12,264.2162,467.4598
-13,266.4954,479.615
-14,269.2474,492.7072
-15,271.988,509.1468
-16,274.2198,526.412
-17,276.3084,544.1816
-18,278.8264,564.0052
-19,280.9412,581.884
-20,283.713,610.389
-21,287.2468,645.1208
-22,290.2632,672.7036
-23,293.4214,709.6014
-24,296.9454,740.1878
-25,301.332,779.241
-26,307.2122,820.8198
-27,312.7038,849.4466
-28,317.6728,879.2828
-29,324.946,921.8562
-30,333.8258,961.4998
-35,345.7646,1000.3134
-40,362.9294,1058.3788
-45,392.0146,1130.6158
-50,430.0632,1203.6182
-55,469.7536,1301.6124
-60,497.6464,1421.7102
-65,525.2284,1509.2894
-70,550.3184,1616.4784
-75,572.7588,1838.0142
-80,600.6178,2027.1192
-85,629.6968,2493.9702
-95,672.9364,3228.282
