Depth[m],Vs[m/sec],Vp[m/sec]
-0,219.4098,431.2796
-1,219.4098,431.2796
-2,247.9062,487.097
-3,272.9406,522.6188
-4,301.4208,599.383
-5,331.6828,648.1318
-6,364.5664,736.4396
-7,403.9474,776.6142
-8,431.851,814.14
-9,459.0332,849.6224
-10,483.903,894.2878
-11,505.25,932.4886
-12,525.844,973.985600000001
-13,541.8574,1011.7962
-14,556.9572,1047.8454
-15,573.9992,1087.704
-16,592.484,1128.6144
-17,607.3284,1165.173
-18,617.6522,1203.922
-19,631.7694,1247.292
-20,645.0318,1285.857
-21,659.135,1325.8112
-22,673.8954,1368.1682
-23,687.8134,1419.6414
-24,704.0612,1485.3108
-25,717.3202,1546.8466
-26,730.8416,1622.578
-27,745.0568,1693.6574
-28,761.9528,1810.4458
-29,782.4486,1935.1846
-30,800.594,2091.3602
-35,824.6204,2295.454
-45,861.9058,2595.888
