Depth[m],Vs[m/sec],Vp[m/sec]
-0,143.84176,330.0152
-1,143.84176,330.0152
-2,190.48252,341.7364
-3,200.47368,351.1938
-4,205.90906,359.827
-5,210.8084,368.8354
-6,216.453,381.5616
-7,224.7894,400.9778
-8,233.6352,419.212
-9,240.9742,442.1702
-10,248.071,469.4372
-11,253.984,499.4588
-12,259.1038,535.9602
-13,265.2532,583.087
-14,270.6152,622.8488
-15,276.3562,666.9186
-16,281.5846,729.4782
-17,286.9356,779.314
-18,291.8208,844.8026
-19,297.0294,904.4168
-20,301.562,966.5588
-21,305.9642,1013.4086
-22,310.4552,1046.6414
-23,315.8358,1077.6152
-24,320.3614,1108.1642
-25,325.4596,1135.621
-26,330.8424,1157.9452
-27,336.4696,1180.2492
-28,344.4604,1208.1138
-29,352.6388,1230.3732
-30,361.5634,1254.4726
-35,371.4074,1288.2566
-40,385.4314,1325.8022
-45,404.6684,1377.6338
-50,425.032,1427.1802
-55,446.5298,1549.3008
-60,471.4288,1634.4446
-65,496.822,1719.1022
-70,535.772,1794.1132
-75,572.6068,1907.4286
-80,607.8496,2036.7304
-85,676.0778,2210.8392
-95,746.9834,3100.55
