Depth[m],Vs[m/sec],Vp[m/sec]
-0,272.5896,444.4116
-1,272.5896,444.4116
-2,281.4936,459.2608
-3,466.066,864.1506
-4,479.0998,920.1004
-5,491.7312,1047.3348
-6,505.8834,1240.9488
-7,527.7088,1305.329
-8,553.3442,1385.659
-9,589.6072,1602.3204
-10,662.7344,1798.02
-11,746.0314,1865.202
-12,847.9514,1895.1626
-13,910.3816,1920.99
-14,975.6864,1945.5632
-15,1022.1572,1970.356
-16,1089.2888,2009.3286
-17,1123.5546,2056.5122
-18,1163.2394,2116.2022
-19,1218.8008,2234.52
-20,1301.301,2295.464
-21,1344.6296,2336.926
-22,1371.7528,2377.89
-23,1395.3878,2419.794
-24,1420.9494,2457.506
-25,1446.32,2489.634
-26,1471.2636,2547.894
-27,1496.679,2613.394
-28,1524.9436,2685.316
-29,1565.0868,2796.578
-30,1612.7304,2913.418
-35,1723.5988,3196.426
-45,2080.9428,3713.752
