Depth[m],Vs[m/sec],Vp[m/sec]
-0,553.3846,971.514200000001
-1,553.3846,971.514200000001
-2,558.2016,1065.3422
-3,572.2572,1094.8986
-4,662.6766,1108.709
-5,679.7328,1139.347
-6,727.985,1201.4474
-7,752.389,1236.0278
-8,765.9574,1252.0202
-9,773.695,1271.359
-10,787.6436,1296.347
-11,807.3584,1372.1914
-12,831.5354,1422.1298
-13,848.963,1453.0044
-14,902.6676,1486.2124
-15,918.23,1524.5566
-16,933.4122,1565.886
-17,946.2264,1596.3548
-18,954.324,1624.8198
-19,963.6076,1661.7646
-20,972.3698,1692.4318
-21,981.3916,1729.343
-22,991.9976,1776.2116
-23,1006.7296,1835.2914
-24,1017.2342,1940.5288
-25,1027.5976,2058.8052
-26,1038.9966,2110.4798
-27,1048.7994,2157.7348
-28,1061.0964,2267.614
-29,1076.19,2331.446
-30,1092.0168,2469.926
-35,1116.2828,2539.352
-40,1204.8082,2626.292
-50,1301.8096,2833.828
