Depth[m],Vs[m/sec],Vp[m/sec]
-0,102.34858,285.3432
-1,102.34858,285.3432
-2,145.61734,365.0218
-3,174.56004,410.0134
-4,210.41572,456.7252
-5,238.8062,533.5926
-6,265.7568,568.1822
-7,290.5482,595.2884
-8,319.5232,615.4342
-9,336.3404,632.0776
-10,347.7984,651.2102
-11,355.3864,668.4546
-12,360.9904,687.729
-13,365.6028,708.9776
-14,369.529,731.1306
-15,373.9758,759.527
-16,377.3244,785.1826
-17,380.9322,813.0436
-18,383.281,842.3478
-19,386.0226,873.9002
-20,389.309,915.2814
-21,391.7266,959.0496
-22,395.2506,1004.3762
-23,398.725,1056.5902
-24,401.4384,1129.5256
-25,403.8836,1183.67
-26,407.2566,1227.2896
-27,410.1,1273.2572
-28,412.9536,1319.952
-29,415.83,1360.8704
-30,421.087,1411.9908
-35,425.1922,1472.524
-40,429.5922,1555.7472
-45,435.4464,1650.8622
-50,443.912,1769.9868
-55,453.5326,1876.1924
-65,475.166,1993.0702
