Depth[m],Vs[m/sec],Vp[m/sec]
-0,116.16834,324.791
-1,116.16834,324.791
-2,161.03508,428.9328
-3,186.38936,518.839
-4,239.2602,617.2796
-5,261.3048,658.3006
-6,291.0234,692.448
-7,331.4116,718.865
-8,377.111,745.9638
-9,425.3728,774.0254
-10,444.3206,811.237
-11,461.8036,841.5172
-12,473.396,870.1682
-13,483.5616,904.042
-14,490.7134,940.7462
-15,496.5272,969.756
-16,502.3628,1011.3916
-17,506.843,1046.556
-18,512.8828,1082.4052
-19,517.0432,1132.8658
-20,520.6434,1178.5534
-21,526.2236,1226.3676
-22,531.0328,1282.844
-23,534.8332,1332.3564
-24,538.8666,1392.619
-25,542.8422,1454.9458
-26,548.6966,1517.942
-27,554.6608,1579.9772
-28,559.4826,1645.5256
-29,565.7412,1730.4364
-30,573.152,1851.2736
-35,583.5514,1996.811
-45,604.1068,2384.06
