Depth[m],Vs[m/sec],Vp[m/sec]
-0,198.18332,533.2338
-1,198.18332,533.2338
-2,245.0516,551.5684
-3,331.7906,564.7666
-4,340.6908,576.9542
-5,346.2676,587.7566
-6,353.8502,599.1984
-7,364.2544,619.1356
-8,372.8006,639.9008
-9,380.1902,656.081
-10,388.1378,677.5558
-11,394.85,699.8912
-12,401.9926,725.6028
-13,408.5294,759.291
-14,415.6548,794.3942
-15,420.9626,831.8128
-16,426.7564,862.2848
-17,433.9534,909.8648
-18,441.961,966.4922
-19,450.532,1073.4864
-20,459.8978,1173.159
-21,470.8472,1255.6468
-22,482.7328,1370.4532
-23,496.4214,1462.5866
-24,513.8924,1537.8172
-25,526.8634,1627.737
-26,545.3978,1699.1266
-27,564.0464,1778.491
-28,580.6868,1837.1886
-29,600.9094,1914.886
-30,622.3564,1991.2982
-35,656.241,2101.3494
-40,696.1624,2217.057
-50,784.4036,2500.258
