Depth[m],Vs[m/sec],Vp[m/sec]
-0,145.16922,281.223
-1,145.16922,281.223
-2,148.32926,355.7156
-3,151.07798,889.4022
-4,153.6819,1186.4888
-5,159.10882,1242.492
-6,167.99522,1284.077
-7,178.17172,1318.6544
-8,188.7145,1345.2076
-9,194.79498,1387.357
-10,200.6731,1435.055
-11,206.45928,1474.1804
-12,210.79904,1504.1926
-13,214.63596,1571.0494
-14,218.70218,1637.194
-15,221.6282,1733.7188
-16,223.4254,1876.5842
-17,225.745,1996.428
-18,227.745,2096.9378
-19,229.4448,2171.054
-20,232.1378,2269.664
-21,235.2764,2369.1
-22,238.0766,2467.528
-23,240.9114,2551.896
-24,244.3706,2682.65
-25,248.197,2773.452
-26,253.9182,2844.874
-27,259.8996,2909.41
-28,263.8692,2967.53
-29,269.2438,3012.466
-30,274.3894,3068.924
-35,281.981,3153.62
-40,289.5746,3254.836
-45,306.3958,3372.2
-55,333.8404,3576.316
