Depth[m],Vs[m/sec],Vp[m/sec]
-0,101.466,268.92
-1,101.466,268.92
-2,121.707,317.26
-3,152.018,330.62
-4,152.458,347.6
-5,152.843,370.85
-6,153.341,409.37
-7,153.941,456.83
-8,155.293,511.36
-9,158.274,537.06
-10,164.856,581.25
-11,205.483,1064.65
-12,221.25,1110.68
-13,228.27,1150.64
-14,233.89,1194.72
-15,237.26,1303.84
-16,240.94,1454.54
-17,243.15,1510.35
-18,245.15,1561.34
-19,247.41,1637.37
-20,249.3,1695.86
-21,251.7,1778.44
-22,253.8,1835.08
-23,255.81,1891.18
-24,257.75,1945.34
-25,261.7,1988.92
-26,264.45,2044.9
-27,267.66,2096.35
-28,272.93,2203.58
-29,277.47,2270.5
-30,285.62,2363.6
-35,300.3,2463.9
-45,574.59,2613.4
