Depth[m],Vs[m/sec],Vp[m/sec]
-0,132.935,339.71
-1,132.935,339.71
-2,197.312,363.84
-3,208.66,378.75
-4,219.64,394.37
-5,232.99,412.71
-6,243.24,428.13
-7,250.6,444.05
-8,256.43,463.35
-9,260.46,481.14
-10,264.22,502.37
-11,267.15,521.75
-12,269.84,538.09
-13,272.6,554.68
-14,274.79,571.21
-15,277.24,588.16
-16,279.92,613.25
-17,282.38,639.07
-18,285.43,664.41
-19,288.72,688.6
-20,291.91,721.32
-21,295.72,754.4
-22,299.77,792.16
-23,304.36,834.94
-24,310.42,888.13
-25,316.93,949.55
-26,323.41,1132.49
-27,332.02,1228.66
-28,342.8,1304.3
-29,354.95,1369.4
-30,371.16,1445.54
-35,387.91,1558.9
-40,407.04,1665.26
-45,422.64,1794.06
-50,432.42,1955.33
-55,441.51,2052.13
-60,448.22,2145.59
-65,455.71,2236.85
-70,464.65,2416.83
-80,476.47,3017.89
