Depth[m],Vs[m/sec],Vp[m/sec]
-0,199.831,348.38
-1,199.831,348.38
-2,207.01,353.5
-3,207.38,369.76
-4,207.81,432.12
-5,209.5,458.26
-6,242.35,474.58
-7,276.45,489.63
-8,279.36,504.27
-9,280.69,547.52
-10,281.9,655.09
-11,282.97,725.51
-12,283.74,772.62
-13,284.42,804.36
-14,285.28,835.67
-15,286.09,862.49
-16,286.8,896.6
-17,287.79,930.6
-18,288.82,973.1
-19,290.41,1014.69
-20,291.54,1059.24
-21,292.88,1098.26
-22,294.48,1150.8
-23,296.31,1246.12
-24,299.15,1342.26
-25,303.13,1427.47
-26,308.07,1492.53
-27,314.48,1676.42
-28,323.82,1830.18
-29,338.3,1915.09
-30,360.6,2004.85
-35,377.6,2094.55
-40,390.96,2162.61
-45,402.25,2284.14
-50,411.14,2594.23
-55,417.92,2718.03
-60,429.5,2863.65
-70,446.21,3107.39
