Depth[m],Vs[m/sec],Vp[m/sec]
-0,239.153,595.4812
-1,239.153,595.4812
-2,258.4234,632.8458
-3,284.6438,666.0924
-4,322.5002,694.387
-5,339.8018,721.523
-6,349.9944,745.1408
-7,359.4134,768.4632
-8,365.802,796.2432
-9,372.8682,829.0502
-10,379.8344,866.4756
-11,385.8606,907.407
-12,393.051,956.1384
-13,400.5526,1011.8054
-14,410.7764,1058.268
-15,418.3882,1114.172
-16,428.7816,1168.2868
-17,439.4584,1223.7434
-18,451.3602,1285.5364
-19,464.3418,1363.7124
-20,479.9612,1472.2908
-21,495.645,1581.124
-22,516.2562,1675.7474
-23,537.0188,1791.2236
-24,562.721,1937.5124
-25,589.2384,2074.491
-26,620.8156,2176.6316
-27,665.5038,2277.5862
-28,711.5896,2386.344
-29,746.534000000001,2522.772
-30,785.303,2663.198
-35,825.7092,2795.208
-40,878.6516,2940.578
-45,950.1444,3130.086
-50,1033.2846,3320.22
-55,1121.9028,3675.974
-65,1272.7236,4701.752
