Depth[m],Vs[m/sec],Vp[m/sec]
-0,190.10994,420.0706
-1,190.10994,420.0706
-2,280.5978,488.131
-3,286.5282,517.16
-4,294.08,551.9404
-5,305.5686,601.9872
-6,319.4938,634.4176
-7,332.1838,674.4032
-8,342.5556,721.0664
-9,349.2936,795.959
-10,356.6896,877.3294
-11,362.599,959.3162
-12,367.473,1085.9614
-13,372.8422,1150.448
-14,377.2904,1201.2264
-15,382.0174,1246.7638
-16,386.7262,1279.7636
-17,390.5998,1315.6392
-18,394.1658,1352.533
-19,398.8414,1394.0522
-20,402.4582,1451.372
-21,407.0108,1504.454
-22,410.5328,1563.0704
-23,416.1132,1624.8264
-24,421.318,1706.2562
-25,428.0314,1772.0926
-26,432.1518,1844.3194
-27,436.1774,1906.5058
-28,443.7088,1988.66
-29,449.238,2126.4826
-30,456.844,2261.23
-35,463.4522,2391.606
-40,471.295,2553.524
-45,480.0376,2740.42
-50,490.9934,2955.888
-55,503.3486,3175.176
-60,518.0816,4047.872
-65,539.4802,4495.654
-70,563.8206,4797.004
-80,615.9638,5135.132
