Depth[m],Vs[m/sec],Vp[m/sec]
-0,156.63246,441.1398
-1,156.63246,441.1398
-2,226.44422,472.2824
-3,284.054,514.101
-4,319.5546,556.064
-5,343.5984,581.5464
-6,359.4838,609.1752
-7,371.2106,638.6842
-8,382.3712,662.3012
-9,394.0662,699.7434
-10,402.8008,741.9776
-11,410.0924,786.84
-12,417.6348,887.8866
-13,427.5234,1242.991
-14,436.4824,1396.8234
-15,447.5628,1495.9666
-16,458.252,1587.6334
-17,471.0168,1651.2062
-18,488.9202,1709.0152
-19,509.2718,1779.0572
-20,538.2134,1856.0196
-21,569.518,1927.2562
-22,606.4644,1994.995
-23,658.0838,2069.7634
-24,698.0434,2126.4382
-25,737.694,2184.7544
-26,773.705000000001,2247.6504
-27,809.054800000001,2302.012
-28,842.4042,2369.514
-29,870.6798,2447.644
-30,906.7286,2556.344
-35,940.6526,2674.488
-40,990.8368,2864.548
-45,1038.1026,3159.13
-50,1092.0732,3799.43
-55,1191.534,4294.806
-60,1353.976,4634.322
-70,2256.052,4986.662
