Depth[m],Vs[m/sec],Vp[m/sec]
-0,175.832,562.82
-1,175.832,562.82
-2,258.37,566.52
-3,351.44,569.36
-4,352.2,571.14
-5,352.49,573.24
-6,352.81,576.81
-7,353.06,583.1
-8,353.31,591.79
-9,353.57,605.91
-10,353.83,625.84
-11,354.22,653.49
-12,354.6,727.68
-13,355.01,839.26
-14,355.54,912.92
-15,356.45,975.53
-16,357.51,1018.52
-17,358.92,1090.14
-18,360.82,1160.39
-19,362.81,1326.21
-20,367.28,1399.02
-21,371.59,1451.05
-22,377.74,1529.59
-23,393.95,1835.18
-24,413.42,2078.48
-25,431.38,2243.21
-26,453.32,2342.12
-27,471.01,2568.95
-28,490.38,2991
-29,504.18,3125.45
-30,514.79,3621.02
-35,526.91,3789.61
-45,541.98,4013.68
