Depth[m],Vs[m/sec],Vp[m/sec]
-0,169.001,521.31
-1,169.001,521.31
-2,193.153,537.11
-3,209.81,555.25
-4,215.35,575.56
-5,225.2,605.55
-6,273.2,626.15
-7,281.96,653.27
-8,287.02,680.63
-9,289.79,712.64
-10,291.42,749.88
-11,293.4,811.09
-12,295.27,880.78
-13,297.29,937.64
-14,299.42,1434.71
-15,301.93,1510.86
-16,304.51,1579.23
-17,308.49,1635.07
-18,314.59,1694.51
-19,321.21,1776.1
-20,330.03,1867.46
-21,340.83,1941.72
-22,353.84,2020.63
-23,369.37,2100.3
-24,382.24,2189.42
-25,398.2,2288.98
-26,412.47,2421.4
-27,425.44,2852.5
-28,438.02,3024
-29,451.67,3658.44
-30,467.03,4554.8
-40,485.56,5509.7
