Depth[m],Vs[m/sec],Vp[m/sec]
-0,191.20604,369.5546
-1,191.20604,369.5546
-2,216.64948,608.094
-3,243.514,1168.9226
-4,276.987,1302.4544
-5,331.7714,1366.7454
-6,346.86,1449.0526
-7,355.7208,1507.295
-8,362.176,1578.9848
-9,365.882,1647.7392
-10,369.644,1748.9768
-11,372.0466,1834.1944
-12,374.4186,1919.44
-13,377.297,2013.5284
-14,378.9712,2099.1782
-15,381.6736,2256.258
-16,383.9516,2350.944
-17,385.9344,2435.18
-18,388.4136,2509.44
-19,389.7338,2568.454
-20,392.5942,2623.902
-21,394.6304,2702.402
-22,397.3606,2794.41
-23,399.326,2901.802
-24,401.9048,3058.446
-25,404.474,3662.93
-26,407.5144,4537.904
-27,411.7622,4734.618
-28,416.6252,4901.328
-29,424.3588,5062.368
-30,432.224,5227.68
-40,447.721,5478.548
