Depth[m],Vs[m/sec],Vp[m/sec]
-0,222.9208,549.3192
-1,222.9208,549.3192
-2,241.9566,954.732
-3,273.6068,1043.9526
-4,294.0132,1117.5824
-5,302.575,1178.8906
-6,308.5494,1246.1288
-7,313.489,1304.981
-8,317.2038,1366.1428
-9,321.341,1416.278
-10,324.122,1486.637
-11,327.4756,1603.3302
-12,330.0452,1782.005
-13,333.3202,1896.3448
-14,335.6516,2008.405
-15,338.7176,2111.4442
-16,340.3772,2200.644
-17,342.7602,2295.19
-18,344.9694,2390.534
-19,347.5924,2511.962
-20,350.5462,2612.67
-21,353.3832,2733.592
-22,358.4492,2830.84
-23,363.0828,2906.818
-24,367.2454,2995.052
-25,372.4066,3119.296
-26,378.249,3235.208
-27,385.163,3399.948
-28,393.0792,3505.818
-29,404.7442,3661.168
-30,415.1124,3862.658
-40,439.3638,4116.196
