Depth[m],Vs[m/sec],Vp[m/sec]
-0,127.15,320.5538
-1,127.15,320.5538
-2,149.03822,573.3474
-3,267.3784,835.4106
-4,294.5364,941.9258
-5,304.5498,1063.039
-6,312.4174,1408.0424
-7,317.2544,1679.1044
-8,322.7298,1753.3764
-9,327.989,1841.257
-10,334.6024,1919.169
-11,340.013,2010.57
-12,345.3176,2104.1428
-13,349.6862,2190.59
-14,355.437,2264.688
-15,360.563,2344.596
-16,366.7424,2462.016
-17,371.948,2555.194
-18,376.404,2615.248
-19,380.9526,2686.888
-20,385.999,2768.698
-21,392.0976,2818.326
-22,396.4664,2876.918
-23,403.9188,2931.768
-24,409.412,2981.458
-25,417.5664,3049.996
-26,425.7578,3113.076
-27,434.7074,3189.468
-28,446.6084,3273.244
-29,457.086,3371.852
-30,472.0144,3461.948
-35,486.1342,3590.196
-45,518.8034,3950.528
