Depth[m],Vs[m/sec],Vp[m/sec]
-0,113.064,345.36
-1,113.064,345.36
-2,215.37,346.59
-3,215.44,348.65
-4,215.67,363.93
-5,216.08,636.92
-6,217.09,657.94
-7,221.03,699.57
-8,268.35,730.13
-9,275.23,768.03
-10,280.95,830.35
-11,286.33,853.41
-12,290.82,870.79
-13,294.65,899.83
-14,297.79,920.58
-15,301.41,944.06
-16,304.21,972.18
-17,308.56,990.81
-18,311.81,1011.81
-19,316.46,1034.16
-20,321.56,1057.02
-21,325.81,1071.96
-22,330.59,1091.4
-23,336.48,1114.3
-24,343.12,1133.29
-25,350.04,1157.72
-26,358.84,1177.85
-27,368.2,1212.48
-28,378.45,1230.45
-29,389.61,1249.83
-30,407.94,1270.24
-35,424.4,1296.49
-40,444.59,1331.88
-45,466.47,1383.09
-50,485.18,1445.4
-55,503.27,1515.55
-60,515.14,1705.63
-65,526.51,1783.69
-70,540.37,1903.17
-75,553.86,2028.33
-80,563.96,2821.8
-85,574.28,3273.1
-95,591.47,7561.5
