Depth[m],Vs[m/sec],Vp[m/sec]
-0,477.0918,1066.1756
-1,477.0918,1066.1756
-2,512.326,1137.7074
-3,636.8482,1211.09
-4,702.4176,1247.4876
-5,744.069,1287.4568
-6,768.2034,1327.6002
-7,782.1686,1361.1178
-8,792.7134,1396.9366
-9,800.2802,1432.9844
-10,807.5768,1470.0154
-11,813.7976,1508.1566
-12,819.4086,1546.1942
-13,823.6656,1590.0554
-14,829.6708,1640.483
-15,834.2778,1676.4768
-16,839.056799999999,1734.9362
-17,844.2316,1799.2442
-18,850.517,1861.7686
-19,855.8784,1970.2228
-20,860.991,2111.7934
-21,866.8548,2240.942
-22,873.6744,2413.818
-23,880.3438,2552.216
-24,885.4166,2667.126
-25,889.8638,2779.626
-26,897.949,2880.55
-27,905.6952,2965.388
-28,914.2168,3059.464
-29,927.6294,3187.826
-30,941.8976,3329.904
-35,959.9354,3484.112
-45,998.205,3690.512
