Depth[m],Vs[m/sec],Vp[m/sec]
-0,164.68582,489.7946
-1,164.68582,489.7946
-2,242.7756,520.2872
-3,321.0414,538.7446
-4,331.3024,559.8456
-5,338.1622,578.082
-6,344.5792,595.8052
-7,353.0828,619.5348
-8,364.4436,646.4046
-9,378.2002,682.274
-10,396.6124,732.3076
-11,417.98,808.8528
-12,449.371,901.7396
-13,494.8622,1042.7242
-14,537.322,1228.0072
-15,577.5148,1566.579
-16,606.9346,1734.8962
-17,649.1268,1902.4704
-18,685.225,2134.4044
-19,724.1102,2339.416
-20,762.045,2433.398
-21,794.1342,2566.81
-22,838.108,2694.724
-23,879.7596,2818.99
-24,933.1106,2964.784
-25,974.1892,3142.204
-26,1026.8868,3356.544
-27,1076.0338,3558.098
-28,1136.0138,3726.676
-29,1193.5702,3933.898
-30,1262.2064,4939.404
-35,1335.8326,5308.072
-45,1476.6092,5647.476
